10488	146
10489	737
10490	39
10491	11
10492	43
10493	106
10494	227
10495	77
10496	32
10497	127
10498	1
10499	5
10501	457
10502	52
10503	44
10504	1633
10505	2
10506	1
10507	2
10508	3
10509	3
10510	1
10511	13
10512	50
10513	1
10514	234
10515	36
10516	29
10517	516
10518	1
10519	232
10520	37
10521	105
10522	5
10523	6
10524	52
10525	38
10526	85
10527	19
10528	1
10529	19
10531	7
10532	487
10533	23
10534	5
10535	5
10537	119
10538	4
10539	33
10540	23
10541	1
10542	3
10543	43
10544	4
10545	150
10546	395
10547	65
10548	10
10549	12
10551	84
10552	9
10553	31
10554	14
10555	58
10556	57
10557	2
10558	3
10560	15
10561	854
10562	12
10563	55
10564	80
10566	106
10567	5
10568	167
10569	6
10570	69
10571	25
10572	30
10573	9
10574	12
10575	3
10576	3
10578	39
10579	46
10580	47
10582	14
10583	3
10584	60
10585	2
10586	43
10587	5
10588	155
10589	6
10590	57
10592	57
10593	66
10594	11
10595	20
10596	156
10597	2
10598	18
10599	141
10600	535
10601	20
10602	11
10603	56
10604	8
10605	40
10606	18
10607	3
10608	75
10609	469
10610	52
10612	2
10614	58
10615	22
10617	20
10618	14
10619	67
10620	13
10621	239
10622	6
10623	16
10624	108
10625	10
10626	131
10627	65
10628	9
10629	190
10630	262
10631	134
10632	6
10633	6
10634	90
10635	17
10636	575
10637	13
10638	27
10639	4
10640	399
10641	140
10642	5
10643	30
10644	12
10645	39
10646	63
10647	332
10649	6
10650	9
10651	31
10652	87
10653	64
10654	50
10655	3
10656	76
10657	100
10658	15
10659	5
10660	144
10661	23
10662	2
10663	55
10664	2
10665	5
10666	45
10668	4
10669	374
10670	1722
10671	5
10672	25
10673	5
10675	1
10676	2
10677	75
10678	5
10679	32
10680	115
10682	1
10683	66
10684	932
10685	18
10686	356
10687	2
10688	741
10689	36
10690	81
10691	13
10693	160
10694	9
10695	3
10696	7
10697	156
10698	1
10699	5
10700	112
10701	130
10702	86
10703	3
10704	12
10705	36
10706	111
10707	136
10708	188
10710	139
10711	65
10712	7
10713	7
10714	6
10715	46
10716	36
10717	64
10718	123
10719	39
10720	3
10721	81
10722	32
10723	17
10724	17
10725	13
10726	39
10727	16
10728	16
10729	77
10730	49
10731	1
10732	5
10733	4
10734	5
10735	49
10736	57
10737	50
10738	32
10739	31
10740	881
10741	628
10742	329
10743	10
10744	109
10745	3
10746	392
10747	15
10748	11
10749	51
10750	2
10751	479
10752	1
10753	5
10754	23
10755	6
10756	10
10757	3
10758	402
